	nentry	muentry	sdentry	noincrease	betagrowth	betagrowth_se	alphagrowth	siggrowth	betaexit	beta2exit	alphaexit	nend	muend	sigend	nout	muout	sigout	nint	muint	sigint	
r1	    6.000000000	   48.796666463	    7.969930716	    0.020725389	    0.004841835	    0.002321246	   -3.117762377	    0.493256368	   -0.000517693	    0.040201006	   56.637613009	  191.000000000	   56.790183172	   17.039041362	    8.000000000	   52.995000362	   12.052627466	  193.000000000	   56.881373005	   17.015924399	
r1	   12.000000000	   46.075000127	    7.204802451	    0.000000000	    0.003720712	    0.002107598	   -3.153911375	    0.477370193	   -0.000111837	    0.068965517	   59.382463070	  189.000000000	   59.422698450	   17.566344808	   14.000000000	   58.839285442	   27.706342414	  191.000000000	   60.218534040	   18.519772595	
r1	    8.000000000	   47.192500114	    8.467210469	    0.000000000	    0.004328843	    0.001815423	   -3.317889475	    0.411845000	    0.000000000	    0.025380711	   61.871538201	  192.000000000	   61.882047007	   18.843664773	    5.000000000	   61.468000031	   21.321331710	  189.000000000	   62.492873146	   18.926173144	
r1	   12.000000000	   48.595000267	    4.312184469	    0.005208333	    0.002797990	    0.002008351	   -3.090618117	    0.473729655	   -0.000555371	    0.078431372	   64.700941179	  188.000000000	   64.949319170	   20.623597827	   16.000000000	   61.782499790	   17.115118135	  192.000000000	   65.707562486	   20.538191192	
r1	   11.000000000	   44.748182470	    4.955519927	    0.000000000	    0.002965509	    0.002134102	   -3.492150972	    0.547875449	   -0.000021960	    0.050251256	   66.468477489	  189.000000000	   66.479359864	   21.683898394	   10.000000000	   66.262800598	   24.181626922	  188.000000000	   67.739345814	   21.683245032	
r1	    8.000000000	   56.226125240	    5.809557262	    0.005291005	    0.002019988	    0.002132987	   -3.423332994	    0.567938387	    0.000180746	    0.045685279	   68.870974526	  188.000000000	   68.774680767	   22.438643600	    9.000000000	   70.882444170	   27.310975170	  189.000000000	   69.406206242	   22.899976113	
r1	   11.000000000	   47.548727209	    8.481098329	    0.000000000	    0.004467623	    0.002832328	   -3.790611661	    0.754535397	    0.000291822	    0.055276383	   70.421399486	  188.000000000	   70.240699403	   24.519994275	   11.000000000	   73.509728172	   19.674675062	  188.000000000	   71.759694140	   24.209564110	
r1	   15.000000000	   49.771333313	   10.826230128	    0.021276596	    0.004305428	    0.002148135	   -3.788983051	    0.612327009	   -0.000265503	    0.049261084	   71.101618405	  193.000000000	   71.283103824	   25.335189183	   10.000000000	   67.598949814	   30.835065030	  188.000000000	   72.803502854	   25.637904317	
r1	   10.000000000	   51.472510147	   10.849891837	    0.000000000	    0.004422270	    0.002001826	   -3.731210822	    0.589126891	    0.000384847	    0.108374384	   72.975059133	  181.000000000	   72.672392176	   26.194144755	   22.000000000	   75.465182738	   29.834663201	  193.000000000	   74.089180843	   26.656239868	
r1	    2.000000000	   59.344999313	    7.997378666	    0.038674033	    0.002169601	    0.001745390	   -3.432765994	    0.500616034	    0.000000000	    0.000000000	   75.605802275	  183.000000000	   75.605802275	   27.430066027	    0.000000000	    0.000000000	    0.000000000	  181.000000000	   75.785479656	   27.521680561	
